Types of expenses:
46001	Air Travel
46016	Hotel
-1999586252	Meals 1 - Travel Dining Alone
-1999586260	Meals 2 - In Office
3083586	Meals 3 - Group Outside Office
46040	Mileage : Personal Car
46025	Parking / Toll / Other Travel
46034	Rail / Subway
46004	Rental Car
-1999999627	Taxi / Car Services
46035	Telecom
-1999999612	Xpenses Other


Meals 1 and Meals 3 types:
type:MealType;id:-1999904927;	Breakfast
type:MealType;id:-1999904919;	Dinner
type:MealType;id:-1999904923;	Lunch


Meals 2 types:
type:SubExpenseType2;id:-1777822879;	Meal Working Late
type:SubExpenseType2;id:-1777822907;	Office Events
type:SubExpenseType2;id:-1999992739;	Working Meetings


Meals 3 types:
type:SubExpenseType3;id:-1975427178;	Client Attended
type:SubExpenseType3;id:-1777822769;	Occasional Team Celebration
type:SubExpenseType3;id:-1777822797;	Team Discussion


Vendors:
Airlines
type:Vendor;id:68020;	Air Canada
type:Vendor;id:68021;	Air France
type:Vendor;id:68022;	Alaska Airlines
type:Vendor;id:68023;	American Airlines
type:Vendor;id:3103254;	America West
type:Vendor;id:68025;	British Airways
type:Vendor;id:68026;	Canadian Airlines
type:Vendor;id:68027;	Continental Airlines
type:Vendor;id:68028;	Delta Airlines
type:Vendor;id:3103255;	Finnair
type:Vendor;id:3103256;	Hawaiian Air
type:Vendor;id:68029;	Japan Airlines
type:Vendor;id:3103259;	Korean Airlines
type:Vendor;id:68030;	Lufthansa Airlines
type:Vendor;id:68031;	Mexicana Airlines
type:Vendor;id:68032;	Northwest Airlines
type:Vendor;id:3103260;	Philippine Airlines
type:Vendor;id:68033;	Qantas Airlines
type:Vendor;id:3103261;	Scandinavian Airline System
type:Vendor;id:68034;	Singapore Airlines
type:Vendor;id:3103262;	South African Airways
type:Vendor;id:68035;	Southwest Airlines
type:Vendor;id:3103263;	Swissair
type:Vendor;id:68036;	TWA
type:Vendor;id:68037;	United Airlines
type:Vendor;id:68038;	US Airways


Hotels
type:Vendor;id:68100;	Best Western
type:Vendor;id:68101;	Clarion
type:Vendor;id:68102;	Comfort Inn
type:Vendor;id:3103265;	Courtyard Inns
type:Vendor;id:3103266;	Crowne Plaza Hotels
type:Vendor;id:3103267;	Doubletree Hotels
type:Vendor;id:68103;	Embassy Suites
type:Vendor;id:68104;	Hilton
type:Vendor;id:3103268;	Holiday Inns
type:Vendor;id:68105;	Howard Johnson
type:Vendor;id:68106;	Hyatt
type:Vendor;id:68108;	Marriott
type:Vendor;id:68109;	Meridian
type:Vendor;id:68110;	Omni
type:Vendor;id:68111;	Radisson
type:Vendor;id:68112;	Ramada Inn
type:Vendor;id:68113;	Red Lion Hotels & Inns
type:Vendor;id:68114;	Regent
type:Vendor;id:3103269;	Renaissance Hotels
type:Vendor;id:68115;	Residence Inn
type:Vendor;id:68116;	Ritz-Carlton
type:Vendor;id:68117;	Sheraton
type:Vendor;id:68118;	Sofitel
type:Vendor;id:68119;	Westin
type:Vendor;id:3103270;	Wyndham Hotels


Airline classes

type:AirlineServiceClass;id:3062073;	Business
type:AirlineServiceClass;id:3062071;	Economy / Coach
